tahun,pendapatan
1967,5667756627.92093
1968,7076465299.81141
1969,8337423312.88344
1970,9150684931.50685
1971,9333536369.94567
1972,10997590361.4458
1973,16273253012.0482
1974,25802409638.5542
1975,30463855421.6867
1976,37269156626.506
1977,45808915662.6506
1978,51455719075.8254
1979,51400186342.8889
1980,72482337397.4439
1981,85518233419.0479
1982,90158449294.9921
1983,81052283383.7155
1984,84853700027.651
1985,85289488375.4435
1986,79954072544.5279
1987,75929617557.7521
1988,84300174485.7973
1989,94451427876.6628
1990,106140727333.636
1991,116621996217.133
1992,128026966579.964
1993,158006700301.533
1994,176892143931.505
1995,202132028723.115
1996,227369679374.973
1997,215748998609.635
1998,95445547872.715
1999,140001351215.462
2000,165021012077.81
2001,160446947784.909
2002,195660611165.183
2003,234772463823.808
2004,256836875295.452
2005,285868619196.085
2006,364570515618.357
2007,432216737774.861
2008,510228634990.598
2009,539580085616.492
2010,755094157621.936
2011,892969104563.171
2012,917869913332.649
2013,912524136718.018
2014,890814755533.537
2015,860854232686.214
2016,931877364037.698
2017,1015618744159.73
2018,1042271532988.63
2019,1119099871350.2
2020,1059054842698.48
2021,1186505455736.54
2022,1319100220407.72
